,Ag,Arterials & Suburban Corridors,Developing,Established Communities,Rural & Small Town Main Street,Rural Residential,Small-Town Established Communities,Urban core,REGION,year
WALKDESTSalljob,578.9345474457442,5337.598082715118,945.1431045548768,3208.991897400595,2121.6426564872895,469.9902509645278,1364.000856776242,64913.70256122384,3842.410877719361,2016
BIKEDESTSalljob,4181.0142256888985,58753.26895822824,6511.420258560485,37113.50649253686,8340.183800099043,4359.477547562376,7127.5982283250505,213458.71280866358,37354.0237093426,2016
AUTODESTSalljob,153980.01422463678,581272.1813926157,308544.67136297125,510067.7869832301,150264.42310102345,180455.7855386203,115470.05312773891,775596.8807292792,475047.24569611414,2016
TRANDESTSalljob,1998.2257466212661,39399.81702759176,3391.2660119608463,20656.833789609966,5562.764840706503,1608.6562455774738,3942.737865508205,163632.2877949876,22213.193547074632,2016
WALKDESTSedu,1.083223163814789,6.116137176680751,1.678553169790824,4.80606669792341,3.959830307032024,0.8749865664170643,2.8359657898456954,15.148187138222761,4.638241418756692,2016
BIKEDESTSedu,6.986049105221374,53.544251060954565,9.967731374222655,40.36021847232496,14.15156421261142,7.208632703027579,11.725412674938292,116.92795528274283,38.1860827979409,2016
AUTODESTSedu,188.78230538206236,598.96543784912,349.61498891487736,526.1547325342686,184.26041218223835,222.13334429813358,163.77232310435943,822.9540932510655,492.5529013364859,2016
TRANDESTSedu,2.8561913802833065,29.99276711295406,5.00769989247431,19.98804998958678,9.372949983492903,2.745134420959795,6.3673234849555795,67.7121830672349,19.460658420459307,2016
WALKDESTSpoi2,2.921799791489321,23.408610137958803,4.949237842391726,17.393537487060424,14.1210127104655,2.691918431420622,9.683589238916499,84.08485051841487,17.147198276435414,2016
BIKEDESTSpoi2,24.681891995294162,199.25458633185085,35.42549533870593,146.64060380744067,49.18685572796302,24.794275012173646,43.011998510238044,485.22723490872085,140.100123535153,2016
AUTODESTSpoi2,141.74468919474705,686.1842636258035,276.07970203190297,552.587123726433,149.34917464509738,164.28148889728843,144.64461021519992,1297.8727816296673,520.3276979954376,2016
TRANDESTSpoi2,9.810816061061107,122.29326086755307,17.3879889924732,78.94860762493549,34.94070782436448,9.399060738864089,25.241365850741076,319.4746743209719,77.93892290099564,2016
TOT_COLLISNS,5539.0,10869.0,1307.0,29028.0,494.0,3108.0,1498.0,2991.0,55020.0,2016
TOT_COLLISNS_PER_100MVMT,38.261387870087155,81.91860709044987,40.697212673638816,67.67608178678405,73.89982127499242,49.81908055631997,61.135362311155795,98.52120983140283,63.36983481895877,2016
FATAL_COLLISNS,243.0,175.0,36.0,479.0,8.0,108.0,41.0,22.0,1113.0,2016
FATAL_COLLISNS_PER_100MVMT,1.678555199933414,1.3189581599805618,1.120963776779646,1.1167439429471393,1.1967582392711322,1.731164961416524,1.6732642555122743,0.7246628606789911,1.2819088722919139,2016
PCT_FATAL_COLLISNS,0.04387073478967323,0.016100837243536663,0.027543993879112473,0.016501309080887417,0.016194331983805668,0.03474903474903475,0.02736982643524699,0.007355399531929121,0.020229007633587787,2016
BIKEPED_COLLISNS,157.0,1751.0,108.0,3747.0,103.0,83.0,202.0,545.0,6723.0,2016
BIKEPED_COLLISNS_PER_CLMILE,0.10112499183542281,7.546273465256497,0.659369985955022,2.5438696252670825,4.642222292676878,0.12263749030099268,1.520280347368572,11.42656323564053,1.5609057466674883,2016
PCT_BIKEPED_COLLISNS,0.028344466510200398,0.16110037721961543,0.08263198163733741,0.12908226539892517,0.20850202429149797,0.026705276705276705,0.1348464619492657,0.18221330658642595,0.12219193020719739,2016
mix_index,0.4444690841589155,0.42466592552602567,0.48716946490514357,0.7448253620001763,0.29230477690197315,0.35447257463142046,0.6262206970088012,0.22767566428252106,0.9999891200962349,2016
Intersxn_34_per_acre,0.0010358613033449168,0.14823101671056696,0.020811803951479465,0.12142166529471966,0.0912851057509572,0.007604989943938808,0.05884413477423325,0.37846124650969093,0.014800715983804317,2016
pct_roadmi_bikeways,0.01925486497230535,0.21276540701921592,0.14788268801694826,0.1865091210239666,0.27710929190247396,0.012312614391675851,0.09949633256047921,0.21897373041792786,0.10524657145350694,2016
TrnVehStop_Acre,0.00014827853334171186,1.9930423877659478,0.012345256964506921,0.5305234323207757,2.638216590047179,0.003825097822740141,0.07414928495812816,8.475827141427393,0.07332683167880812,2016
Pct_PopEJArea,0.24178872418240605,0.6769243115151858,0.24228819695872555,0.3679790090112011,0.8339279922153746,0.05137670556252925,0.34730153421679694,0.5619245097350108,0.3746385676273582,2016
EMPIND_jobshare,0.4574722217703214,0.09335777108616249,0.22868241326550212,0.16420091105023224,0.0233746704013508,0.1519922431950119,0.13438717051823987,0.016589955364791357,0.13021497769289114,2016
DU_TOT_NetPclAcre,0.007873563103240151,2.9540914409409513,0.04418031798128982,2.2921260183022754,0.9027850492020486,0.10716694430838168,0.8128960331098751,11.577845329652687,0.18979411874098684,2016
EMPTOT_NetPclAcre,0.004621128694124715,7.295022816180906,0.018562933847445694,1.8110844872821303,5.616921752527108,0.02267014356785289,0.630314915828776,64.91887350558419,0.19527333882299505,2016
mix_index,0.460004208238215,0.46878341688459224,0.5103271660601649,0.7395300212146002,0.3967636366319464,0.38245081278141335,0.6582471312842735,0.35973431030552794,0.9308534957530498,2040
